alignment,candidate_type,seed,pointwise_rerank_top1_pct,relative_rerank_top1_pct,delta_relative_minus_pointwise_top1_pct,pointwise_rerank_mrr_raw,relative_rerank_mrr_raw,delta_relative_minus_pointwise_mrr_raw
align42,formula,42,70.7337,71.0014,0.26770000000000493,0.7505,0.7538,0.0033000000000000806
align42,formula,43,71.3659,70.4602,-0.905699999999996,0.7562,0.7512,-0.0050000000000000044
align42,formula,44,70.1925,71.1836,0.991100000000003,0.7483,0.7565,0.008199999999999985
align42,mass,42,58.7207,57.4277,-1.2929999999999993,0.6534,0.6443,-0.009099999999999997
align42,mass,43,57.9517,57.6612,-0.29050000000000153,0.6498,0.6453,-0.0045000000000000595
align42,mass,44,57.6897,58.5384,0.8487000000000009,0.6441,0.6537,0.009599999999999942
align43,formula,42,64.8781,65.2654,0.3872999999999962,0.6853,0.6886,0.0032999999999999696
align43,formula,43,64.6047,64.018,-0.5866999999999933,0.6828,0.6778,-0.0050000000000000044
align43,formula,44,64.6674,63.0212,-1.6462000000000003,0.6827,0.6722,-0.010499999999999954
align43,mass,42,58.4871,56.6872,-1.799900000000001,0.64,0.6272,-0.012800000000000034
align43,mass,43,57.9517,59.2789,1.3271999999999977,0.6369,0.6471,0.010199999999999987
align43,mass,44,58.527,56.8638,-1.6632000000000033,0.6425,0.6306,-0.01189999999999991
